schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Ly0n/awesome-robotic-tooling'}","{'entityName': 'Ly0n', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327639
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/allmachinelearning/MachineLearning'}","{'entityName': 'allmachinelearning', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327644
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/stylegan2-pytorch'}","{'entityName': 'lucidrains', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327649
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Sophia-11/Machine-Learning-Notes'}","{'entityName': 'Sophia-11', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327654
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/askrella/whatsapp-chatgpt'}","{'entityName': 'askrella', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327661
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/aurelio-labs/semantic-router'}","{'entityName': 'aurelio-labs', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327666
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/olivia-ai/olivia'}","{'entityName': 'olivia-ai', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327676
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/polyaxon/polyaxon'}","{'entityName': 'polyaxon', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327684
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/cbamls/AI_Tutorial'}","{'entityName': 'cbamls', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327698
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/morphik-org/morphik-core'}","{'entityName': 'morphik-org', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327706
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/twinnydotdev/twinny'}","{'entityName': 'twinnydotdev', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327718
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/avinashkranjan/Amazing-Python-Scripts'}","{'entityName': 'avinashkranjan', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327726
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/krishnakumarsekar/awesome-quantum-machine-learning'}","{'entityName': 'krishnakumarsekar', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327739
