schemaVersion,recordType,source,content,collectedAt
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/PaulDuvall/ai-development-patterns'}","{'startupName': 'PaulDuvall', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855517
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/philipturner/metal-flash-attention'}","{'startupName': 'philipturner', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855519
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/jina-ai/agentchain'}","{'startupName': 'jina-ai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855522
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/0xDeCA10B'}","{'startupName': 'microsoft', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855524
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/pulp-platform/pulp-dronet'}","{'startupName': 'pulp-platform', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855528
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/poozlehq/poozle'}","{'startupName': 'poozlehq', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855531
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/codestoryai/sidecar'}","{'startupName': 'codestoryai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855533
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/parulnith/Building-a-Simple-Chatbot-in-Python-using-NLTK'}","{'startupName': 'parulnith', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855536
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/point-transformer-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855539
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/robotology/yarp'}","{'startupName': 'robotology', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855542
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/multilspy'}","{'startupName': 'microsoft', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855544
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/ai-ng/swift'}","{'startupName': 'ai-ng', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855547
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/DmitryRyumin/AAAI-2024-Papers'}","{'startupName': 'DmitryRyumin', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855550
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/DivergentAI/dreamGPT'}","{'startupName': 'DivergentAI', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855552
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/vladfi1/phillip'}","{'startupName': 'vladfi1', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855556
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/100/Solid'}","{'startupName': '100', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855559
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/TimeCopilot/timecopilot'}","{'startupName': 'TimeCopilot', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855562
